X Y Z Dir_X Dir_Y Dir_Z Dip_Direction Dip M K T n(T)
2610913 1146469 2069 0.8750 -0.3889 0.2884 113.96 73.24 6.61 2.22 15 447 
2610913 1146471 2067 0.8755 -0.3897 0.2859 114.00 73.39 6.60 2.26 15 447 
2610915 1146473 2078 0.8758 -0.3906 0.2836 114.04 73.52 6.57 2.31 15 447 
2610915 1146475 2078 0.8767 -0.3914 0.2796 114.06 73.76 6.57 2.34 15 447 
2610917 1146477 2078 0.8776 -0.3923 0.2756 114.08 74.00 6.56 2.38 15 447 
2610917 1146479 2075 0.8786 -0.3931 0.2713 114.11 74.26 6.54 2.42 15 447 
2610919 1146481 2075 0.8797 -0.3939 0.2663 114.12 74.56 6.53 2.46 15 447 
2610919 1146483 2071 0.8809 -0.3947 0.2612 114.14 74.86 6.52 2.50 15 447 
2610993 1146651 2088 -0.4165 0.3607 -0.8345 130.90 33.43 5.84 2.45 15 447 
2610995 1146653 2087 -0.4134 0.3600 -0.8363 131.05 33.25 5.84 2.34 15 447 
2610997 1146655 2088 -0.4139 0.3606 -0.8358 131.06 33.30 5.84 2.22 15 447 
2610997 1146657 2086 -0.4179 0.3627 -0.8330 130.95 33.60 5.84 2.11 15 447 
2610999 1146659 2087 -0.4259 0.3663 -0.8273 130.70 34.18 5.83 2.00 15 447 
2610999 1146661 2087 -0.4342 0.3702 -0.8212 130.45 34.79 5.83 1.89 15 447 
2611001 1146663 2089 -0.4456 0.3754 -0.8127 130.12 35.64 5.82 1.79 15 447 
2611001 1146665 2089 -0.4585 0.3813 -0.8027 129.75 36.61 5.80 1.70 15 447 
2611003 1146667 2090 -0.4712 0.3874 -0.7924 129.42 37.59 5.80 1.61 15 447 
2611005 1146669 2092 -0.4824 0.3928 -0.7830 129.16 38.47 5.79 1.53 15 447 
2611005 1146671 2092 -0.4923 0.3976 -0.7743 128.93 39.26 5.79 1.45 15 447 
2611007 1146673 2095 -0.5018 0.4024 -0.7657 128.73 40.03 5.78 1.38 15 447 
2611007 1146675 2094 -0.5109 0.4069 -0.7572 128.53 40.78 5.77 1.31 15 447 
2611009 1146677 2096 -0.5194 0.4113 -0.7490 128.37 41.49 5.77 1.25 15 447 
2611009 1146679 2095 -0.5273 0.4150 -0.7414 128.21 42.15 5.75 1.20 15 447 
2611011 1146681 2097 -0.5343 0.4182 -0.7346 128.05 42.73 5.73 1.15 15 447 
2611013 1146683 2099 -0.5408 0.4217 -0.7278 127.94 43.30 5.73 1.11 15 447 
2611013 1146685 2099 -0.5461 0.4247 -0.7221 127.88 43.77 5.72 1.06 15 447 
2611015 1146687 2101 -0.5506 0.4281 -0.7166 127.86 44.22 5.75 1.00 15 447 
2611015 1146689 2100 -0.5551 0.4312 -0.7113 127.84 44.66 5.77 0.96 15 447 
2611017 1146691 2101 -0.5595 0.4341 -0.7061 127.81 45.08 5.77 0.92 15 447 
2611017 1146693 2099 -0.5635 0.4369 -0.7011 127.79 45.48 5.78 0.88 15 447 
2611019 1146695 2099 -0.5672 0.4394 -0.6966 127.76 45.85 5.78 0.84 15 447 
2611021 1146697 2099 -0.5698 0.4420 -0.6928 127.80 46.15 5.81 0.80 15 447 
2611021 1146699 2099 -0.5722 0.4446 -0.6892 127.85 46.43 5.84 0.76 15 447 
2611023 1146701 2102 -0.5744 0.4472 -0.6857 127.90 46.71 5.88 0.73 15 447 
2611023 1146703 2102 -0.5680 0.4470 -0.6911 128.20 46.29 5.79 0.74 15 447 
2611025 1146705 2105 -0.5620 0.4502 -0.6938 128.70 46.07 5.27 0.87 15 447 
2611749 1146849 1930 0.4590 -0.6366 0.6197 144.21 51.71 5.93 2.49 16 995 
2611751 1146849 1930 0.4598 -0.6402 0.6154 144.32 52.02 5.94 2.45 16 995 
2611753 1146851 1925 0.4604 -0.6435 0.6115 144.41 52.30 5.96 2.43 16 995 
2611755 1146853 1916 0.4611 -0.6467 0.6076 144.51 52.58 5.97 2.40 16 995 
2611757 1146853 1916 0.4619 -0.6501 0.6034 144.61 52.89 5.98 2.36 16 995 
2611759 1146855 1915 0.4627 -0.6530 0.5996 144.68 53.16 6.00 2.32 16 995 
2611761 1146855 1920 0.4634 -0.6555 0.5963 144.75 53.39 6.01 2.29 16 995 
2611763 1146857 1914 0.4641 -0.6582 0.5927 144.81 53.65 6.03 2.26 16 995 
2611765 1146857 1910 0.4649 -0.6603 0.5898 144.85 53.85 6.04 2.23 16 995 
2611767 1146859 1906 0.4655 -0.6617 0.5877 144.87 54.01 6.04 2.21 16 995 
2611769 1146859 1902 0.4664 -0.6630 0.5856 144.88 54.16 6.05 2.19 16 995 
2611771 1146861 1897 0.4671 -0.6642 0.5837 144.88 54.29 6.06 2.17 16 995 
2611773 1146861 1895 0.4678 -0.6648 0.5824 144.87 54.38 6.07 2.16 16 995 
2611775 1146861 1893 0.4686 -0.6655 0.5809 144.85 54.48 6.07 2.14 16 995 
2611777 1146863 1891 0.4694 -0.6663 0.5794 144.84 54.59 6.08 2.12 16 995 
2611779 1146863 1893 0.4701 -0.6667 0.5784 144.81 54.66 6.09 2.10 16 995 
2611781 1146863 1894 0.4711 -0.6677 0.5764 144.79 54.80 6.10 2.06 16 995 
2611783 1146865 1892 0.4721 -0.6688 0.5743 144.78 54.95 6.12 2.02 16 995 
2611785 1146865 1894 0.4731 -0.6700 0.5721 144.77 55.10 6.14 1.98 16 995 
2611787 1146865 1896 0.4740 -0.6713 0.5698 144.77 55.26 6.16 1.94 16 995 
2611789 1146865 1901 0.4751 -0.6729 0.5669 144.78 55.46 6.19 1.89 16 995 
2611791 1146867 1898 0.4761 -0.6741 0.5648 144.77 55.61 6.21 1.86 16 995 
2611793 1146867 1899 0.4769 -0.6755 0.5624 144.78 55.78 6.22 1.84 16 995 
2611795 1146867 1896 0.4780 -0.6759 0.5610 144.73 55.88 6.23 1.82 16 995 
2611797 1146869 1891 0.4790 -0.6764 0.5596 144.70 55.98 6.24 1.81 16 995 
2611799 1146869 1890 0.4799 -0.6764 0.5588 144.65 56.03 6.24 1.81 16 995 
2611801 1146869 1889 0.4806 -0.6768 0.5576 144.62 56.11 6.24 1.81 16 995 
2611803 1146871 1884 0.4814 -0.6771 0.5565 144.59 56.18 6.24 1.82 16 995 
2611805 1146871 1882 0.4821 -0.6778 0.5551 144.57 56.28 6.24 1.82 16 995 
2611807 1146873 1877 0.4829 -0.6777 0.5546 144.53 56.32 6.24 1.84 16 995 
2611809 1146873 1876 0.4836 -0.6774 0.5543 144.47 56.34 6.23 1.85 16 995 
2611811 1146875 1871 0.4846 -0.6781 0.5526 144.45 56.45 6.23 1.87 16 995 
2611813 1146877 1867 0.4855 -0.6785 0.5513 144.42 56.55 6.23 1.88 16 995 
2611815 1146877 1866 0.4863 -0.6792 0.5497 144.40 56.65 6.23 1.90 16 995 
2611817 1146879 1863 0.4871 -0.6795 0.5487 144.36 56.72 6.23 1.92 16 995 
2611819 1146881 1860 0.4878 -0.6801 0.5473 144.35 56.82 6.22 1.93 16 995 
2611821 1146881 1860 0.4887 -0.6813 0.5450 144.34 56.98 6.23 1.95 16 995 
2611823 1146883 1860 0.4896 -0.6822 0.5430 144.33 57.11 6.23 1.97 16 995 
2611825 1146885 1862 0.4906 -0.6837 0.5403 144.34 57.29 6.23 1.98 16 995 
2611827 1146887 1864 0.4914 -0.6847 0.5382 144.33 57.44 6.23 2.00 16 995 
2611829 1146887 1866 0.4923 -0.6856 0.5362 144.32 57.57 6.23 2.02 16 995 
2611831 1146889 1867 0.4931 -0.6863 0.5346 144.30 57.68 6.23 2.04 16 995 
2611833 1146891 1869 0.4939 -0.6867 0.5333 144.28 57.77 6.23 2.07 16 995 
2611835 1146891 1871 0.4947 -0.6869 0.5324 144.24 57.83 6.22 2.11 16 995 
2611837 1146893 1871 0.4954 -0.6865 0.5322 144.19 57.84 6.21 2.15 16 995 
2611839 1146895 1869 0.4961 -0.6859 0.5324 144.12 57.83 6.20 2.20 16 995 
2611841 1146895 1869 0.4968 -0.6851 0.5328 144.05 57.81 6.18 2.26 16 995 
2611843 1146897 1866 0.4977 -0.6842 0.5331 143.97 57.79 6.15 2.33 16 995 
2611845 1146897 1867 0.4989 -0.6843 0.5318 143.90 57.87 6.13 2.40 16 995 
2611847 1146899 1864 0.5003 -0.6843 0.5304 143.83 57.96 6.10 2.47 16 995 
2611887 1146905 1865 0.5239 -0.6612 0.5370 141.61 57.52 5.94 2.45 16 995 
2611887 1146907 1866 0.5249 -0.6624 0.5344 141.61 57.70 5.94 2.39 16 995 
2611889 1146909 1867 0.5257 -0.6630 0.5329 141.59 57.80 5.95 2.34 16 995 
2611889 1146911 1867 0.5262 -0.6631 0.5324 141.56 57.83 5.95 2.31 16 995 
2611889 1146913 1867 0.5267 -0.6635 0.5313 141.56 57.90 5.95 2.27 16 995 
2611889 1146915 1867 0.5269 -0.6635 0.5311 141.55 57.92 5.95 2.25 16 995 
2611891 1146917 1870 0.5271 -0.6638 0.5306 141.55 57.96 5.95 2.23 16 995 
2611891 1146919 1871 0.5271 -0.6638 0.5306 141.55 57.96 5.95 2.21 16 995 
2611891 1146921 1872 0.5270 -0.6637 0.5308 141.55 57.94 5.95 2.19 16 995 
2611891 1146923 1872 0.5270 -0.6641 0.5303 141.56 57.98 5.94 2.17 16 995 
2611891 1146925 1873 0.5270 -0.6643 0.5301 141.58 57.99 5.94 2.16 16 995 
2611893 1146927 1876 0.5267 -0.6644 0.5302 141.59 57.98 5.94 2.14 16 995 
2611893 1146929 1876 0.5267 -0.6647 0.5298 141.61 58.01 5.94 2.12 16 995 
2611893 1146931 1876 0.5269 -0.6657 0.5284 141.64 58.11 5.94 2.10 16 995 
2611893 1146933 1877 0.5271 -0.6668 0.5268 141.67 58.21 5.94 2.09 16 995 
2611895 1146935 1881 0.5274 -0.6680 0.5250 141.71 58.33 5.94 2.07 16 995 
2611895 1146937 1881 0.5278 -0.6689 0.5234 141.73 58.44 5.93 2.04 16 995 
2611897 1146939 1884 0.5282 -0.6701 0.5215 141.75 58.57 5.93 2.02 16 995 
2611897 1146941 1883 0.5288 -0.6714 0.5193 141.78 58.72 5.93 2.00 16 995 
2611899 1146943 1884 0.5294 -0.6725 0.5171 141.79 58.86 5.93 1.97 16 995 
2611901 1146945 1885 0.5301 -0.6738 0.5148 141.81 59.02 5.93 1.94 16 995 
2611903 1146947 1887 0.5306 -0.6746 0.5131 141.81 59.13 5.93 1.91 16 995 
2611905 1146949 1890 0.5312 -0.6757 0.5111 141.82 59.26 5.93 1.88 16 995 
2611907 1146951 1894 0.5316 -0.6763 0.5100 141.83 59.33 5.93 1.86 16 995 
2611909 1146951 1897 0.5320 -0.6771 0.5084 141.84 59.44 5.93 1.83 16 995 
2611911 1146953 1896 0.5323 -0.6775 0.5076 141.85 59.50 5.93 1.81 16 995 
2611913 1146953 1892 0.5326 -0.6778 0.5069 141.84 59.54 5.93 1.79 16 995 
2611915 1146953 1890 0.5330 -0.6784 0.5057 141.84 59.62 5.93 1.76 16 995 
2611917 1146955 1884 0.5334 -0.6788 0.5047 141.84 59.69 5.93 1.73 16 995 
2611919 1146955 1883 0.5337 -0.6788 0.5043 141.83 59.71 5.93 1.71 16 995 
2611921 1146955 1883 0.5352 -0.6816 0.4990 141.86 60.07 5.93 1.67 16 995 
2611923 1146955 1882 0.5368 -0.6845 0.4933 141.90 60.44 5.92 1.62 16 995 
2611925 1146955 1881 0.5402 -0.6909 0.4804 141.98 61.29 5.90 1.57 16 995 
2611927 1146955 1882 0.5413 -0.6927 0.4766 141.99 61.54 5.90 1.53 16 995 
2611929 1146955 1881 0.5424 -0.6941 0.4734 142.00 61.75 5.91 1.50 16 995 
2611931 1146955 1880 0.5435 -0.6956 0.4698 142.00 61.98 5.91 1.46 16 995 
2611933 1146955 1879 0.5445 -0.6971 0.4665 142.00 62.20 5.91 1.43 16 995 
2611935 1146955 1878 0.5456 -0.6985 0.4630 142.01 62.42 5.91 1.40 16 995 
2611937 1146955 1877 0.5465 -0.6999 0.4600 142.02 62.62 5.91 1.38 16 995 
2611939 1146955 1878 -0.5474 0.7014 -0.4564 142.03 62.85 5.90 1.36 16 995 
2611941 1146955 1878 -0.5484 0.7030 -0.4528 142.04 63.08 5.90 1.34 16 995 
2611943 1146955 1878 0.5493 -0.7046 0.4493 142.06 63.30 5.90 1.32 16 995 
2611945 1146955 1877 -0.5502 0.7061 -0.4458 142.07 63.53 5.90 1.31 16 995 
2611947 1146955 1877 -0.5514 0.7080 -0.4413 142.09 63.81 5.89 1.29 16 995 
2611949 1146955 1878 -0.5522 0.7094 -0.4380 142.10 64.02 5.89 1.28 16 995 
2611951 1146955 1879 -0.5531 0.7107 -0.4349 142.11 64.22 5.89 1.28 16 995 
2611953 1146955 1879 -0.5540 0.7120 -0.4314 142.11 64.44 5.89 1.27 16 995 
2611955 1146955 1878 -0.5543 0.7124 -0.4305 142.12 64.50 5.89 1.27 16 995 
2611957 1146955 1877 -0.5546 0.7127 -0.4294 142.11 64.57 5.89 1.28 16 995 
2611959 1146957 1862 -0.5551 0.7133 -0.4279 142.11 64.67 5.89 1.28 16 995 
2611961 1146957 1858 -0.5555 0.7138 -0.4265 142.11 64.76 5.89 1.29 16 995 
2611963 1146957 1858 -0.5559 0.7144 -0.4249 142.11 64.86 5.89 1.30 16 995 
2611965 1146959 1859 -0.5562 0.7152 -0.4232 142.13 64.96 5.89 1.31 16 995 
2611967 1146959 1860 -0.5565 0.7163 -0.4210 142.16 65.10 5.88 1.32 16 995 
2611969 1146961 1862 -0.5570 0.7176 -0.4182 142.18 65.28 5.87 1.33 16 995 
2611971 1146963 1864 -0.5571 0.7187 -0.4161 142.22 65.41 5.86 1.35 16 995 
2611973 1146965 1866 0.5576 -0.7198 0.4135 142.24 65.57 5.86 1.37 16 995 
2611975 1146967 1869 0.5577 -0.7207 0.4117 142.26 65.69 5.85 1.39 16 995 
2611975 1146969 1870 0.5582 -0.7216 0.4094 142.28 65.83 5.85 1.40 16 995 
2611977 1146971 1870 0.5592 -0.7226 0.4064 142.26 66.02 5.85 1.42 16 995 
2611979 1146973 1871 0.5600 -0.7234 0.4037 142.26 66.19 5.85 1.43 16 995 
2611979 1146975 1871 0.5609 -0.7241 0.4013 142.24 66.34 5.85 1.44 16 995 
2611979 1146977 1871 0.5615 -0.7248 0.3992 142.24 66.47 5.85 1.46 16 995 
2611981 1146979 1871 0.5629 -0.7261 0.3948 142.22 66.74 5.85 1.48 16 995 
2611981 1146981 1870 0.5642 -0.7273 0.3907 142.20 67.00 5.85 1.49 16 995 
2611981 1146983 1869 0.5656 -0.7282 0.3869 142.16 67.24 5.85 1.50 16 995 
2611981 1146985 1869 0.5671 -0.7291 0.3832 142.13 67.47 5.86 1.51 16 995 
2611983 1146987 1869 0.5688 -0.7300 0.3789 142.08 67.74 5.86 1.52 16 995 
2611983 1146989 1870 0.5705 -0.7309 0.3746 142.03 68.00 5.87 1.53 16 995 
2611983 1146991 1870 0.5722 -0.7318 0.3702 141.98 68.27 5.88 1.54 16 995 
2611985 1146993 1872 0.5740 -0.7328 0.3654 141.93 68.57 5.88 1.55 16 995 
2611985 1146995 1872 0.5756 -0.7336 0.3614 141.88 68.82 5.89 1.56 16 995 
2611987 1146997 1874 0.5769 -0.7342 0.3579 141.84 69.03 5.89 1.58 16 995 
2611989 1146999 1876 0.5784 -0.7350 0.3539 141.80 69.28 5.90 1.59 16 995 
2611991 1147001 1878 0.5798 -0.7359 0.3498 141.77 69.52 5.89 1.61 16 995 
2611993 1147003 1879 0.5809 -0.7367 0.3461 141.74 69.75 5.89 1.63 16 995 
2611995 1147005 1881 0.5815 -0.7373 0.3438 141.74 69.89 5.89 1.66 16 995 
2611997 1147007 1879 0.5823 -0.7379 0.3412 141.72 70.05 5.88 1.69 16 995 
2611999 1147007 1879 0.5828 -0.7385 0.3390 141.72 70.18 5.88 1.72 16 995 
2612001 1147009 1868 0.5832 -0.7391 0.3372 141.72 70.29 5.87 1.76 16 995 
2612003 1147009 1868 0.5837 -0.7396 0.3349 141.72 70.43 5.86 1.79 16 995 
2612005 1147011 1866 0.5842 -0.7402 0.3329 141.72 70.56 5.85 1.82 16 995 
2612007 1147011 1868 0.5844 -0.7408 0.3312 141.73 70.66 5.84 1.85 16 995 
2612009 1147013 1866 0.5849 -0.7415 0.3288 141.73 70.80 5.83 1.89 16 995 
2612011 1147013 1869 0.5852 -0.7422 0.3266 141.74 70.94 5.81 1.92 16 995 
2612013 1147015 1862 0.5860 -0.7431 0.3232 141.74 71.15 5.79 1.96 16 995 
2612015 1147017 1860 0.5876 -0.7445 0.3170 141.72 71.52 5.76 2.00 16 995 
2612017 1147017 1862 0.5894 -0.7459 0.3103 141.69 71.92 5.73 2.05 16 995 
2612019 1147019 1860 0.5913 -0.7473 0.3032 141.64 72.35 5.70 2.08 16 995 
2612021 1147019 1862 0.5930 -0.7485 0.2968 141.61 72.73 5.67 2.12 16 995 
2612023 1147021 1860 0.5945 -0.7495 0.2912 141.58 73.07 5.65 2.15 16 995 
2612025 1147021 1863 0.5957 -0.7502 0.2868 141.55 73.34 5.64 2.17 16 995 
2612027 1147023 1863 0.5970 -0.7510 0.2822 141.52 73.61 5.63 2.19 16 995 
2612029 1147025 1862 0.5982 -0.7517 0.2778 141.49 73.87 5.62 2.21 16 995 
2612031 1147025 1863 0.5996 -0.7524 0.2727 141.44 74.18 5.61 2.23 16 995 
2612033 1147027 1862 0.6011 -0.7530 0.2676 141.40 74.48 5.60 2.24 16 995 
2612035 1147029 1861 0.6026 -0.7537 0.2623 141.35 74.80 5.60 2.26 16 995 
2612037 1147031 1861 0.6042 -0.7543 0.2570 141.31 75.11 5.59 2.28 16 995 
2612039 1147033 1859 0.6059 -0.7549 0.2510 141.25 75.47 5.59 2.29 16 995 
2612041 1147035 1859 0.6076 -0.7555 0.2451 141.19 75.81 5.58 2.31 16 995 
2612041 1147037 1855 0.6094 -0.7561 0.2387 141.13 76.19 5.58 2.32 16 995 
2612043 1147039 1855 0.6113 -0.7565 0.2323 141.06 76.57 5.58 2.33 16 995 
